fileName,resortName,unitType,group,unitGroup,tag,ext,alt
1,bj,,,,,,
2,bj,,1,,,,
3,bj,,,,,,
4,bj,,1,,,,
5,bj,bj-1,0,,,,
6,bj,bj-1,1,0,,,
7,bj,bj-1,1,,,,
8,bj,bj-1,1,,,,
9,bj,bj-1,2,,,,
10,bj,bj-2,1,,,,
11,bj,,1,,,,
12,kirk,,1,,,,
13,pelican,,0,,,,
14,pelican,,1,,,,
15,pelican,,1,,,,
16,pelican,,1,,,,
17,pelican,,1,,,,
18,pelican,,,,,,
19,pelican,,1,,,,
20,kirk,,1,,,,
21,pelican,,,,,,
22,bj,,,,,,
23,bj,,2,,,,
24,bj,,2,,,,
25,resto,,,,teddys,,
26,place,,,,,,
27,place,,,,,,
28,coffee,,,,,,
29,coffee,,,,,,
30,place,,,,,,
31,bj,bj-2,2,,,,
32,bj,bj-2,2,0,,,
33,bj,bj-2,,,,,
34,bj,bj-2,,,,,
35,bj,bj-2,,,,,
36,bj,,,,,,
37,bj,,1,,,,
38,bj,,,,,,
39,bj,,,,,,
40,bj,,1,,,,
41,bj,,1,,,,
42,x,,,,,,
43,vwind,,1,,,,
44,vwind,,,,,,
45,vwind,vwind-1,,,,,
46,vwind,vwind-1,1,0,,,
47,vwind,vwind-1,,,,,
48,vwind,vwind-1,1,,,,
49,vwind,,2,,,,
50,vwind,vwind-2,1,0,,,
51,vwind,vwind-2,1,,,,
52,vwind,vwind-2,2,,,,
53,vwind,vwind-2,3,,,,
54,vwind,vwind-2,2,,,,
55,vwind,vwind-3,2,,,,
56,vwind,vwind-3,1,0,,,
57,vwind,vwind-3,2,,,,
58,vwind,vwind-3,3,,,,
59,vwind,vwind-3,1,,,,
60,vwind,vwind-3,,,,,
61,vwind,,1,,,,
62,vwind,,1,,,,
63,vwind,,10,,sports,,
64,vwind,vwind-windscape,0,0,,,
65,vwind,vwind-windscape,1,,,,
66,vwind,vwind-windscape,2,,,,
67,vwind,vwind-windscape,1,,,,
